restaurant_id,name,city,area,cuisine,rating,is_pure_veg,source,avg_delivery_time,avg_price_for_two
34226,Rajahmundry Rose Milk,Palakollu,Somavaram,"Beverages, Desserts",4.3,True,swiggy,,300.0
34227,Helly & Chilly Cafe,Palakollu,Somavaram,"Beverages, Snacks",4.3,True,swiggy,,200.0
34228,Grillland,Palakollu,Somavaram,"Snacks, Chinese",4.3,False,swiggy,,300.0
34229,The Cosmopolitan Club,Palakollu,Somavaram,"South Indian, Biryani",4.3,False,swiggy,,350.0
34230,Haldiram'S Restaurant,Bhilai,Nehru Nagar,"North Indian, South Indian",4.3,True,swiggy,,400.0
34231,Juice N Joy,Palakollu,Somavaram,"Juices, Beverages",4.3,True,swiggy,,200.0
34232,Melty Way,Kochi,Mattancherry,"Italian, Chinese",4.3,True,swiggy,,200.0
34233,Courtyard - The Classik Fort,Kochi,Maradu,"South Indian, North Indian",4.3,False,swiggy,,400.0
34234,DFC,Palakollu,Somavaram,"Burgers, Pizzas",4.3,False,swiggy,,250.0
34235,Sri Ganesh Canteen,Palakollu,Somavaram,"South Indian, Indian",4.3,True,swiggy,,200.0
34236,Chandrika Tiffins,Palakollu,Somavaram,"South Indian, Andhra",4.3,True,swiggy,,250.0
34237,Ajanta'S Gumagumalu,Palakollu,Srirampuram,Biryani,4.3,False,swiggy,,300.0
34238,Snack Max,Tumakuru,Kotitopu,"Beverages, Desserts",4.3,True,swiggy,,150.0
34239,KFC,Palampur,Palampur Locality,"Burgers, Biryani",4.3,False,swiggy,,400.0
34240,Santosh Biryani Center,Bhilai,Nehru Nagar,"Biryani, Chinese",4.3,False,swiggy,,200.0
34241,Jalaram Bhel And Chat Bhandar,Bhilai,Indra Market,"Street Food, North Indian",4.3,True,swiggy,,150.0
34242,Bramhashree Food Point,Tumakuru,Gangotri Nagar,"Desserts, Chinese",4.3,False,swiggy,,100.0
34243,Baskin Robbins - Ice Cream Desserts,Palakollu,Tammi Raju Nagar,"Desserts, Ice Cream",4.3,True,swiggy,,250.0
34244,The North Veg,Kochi,Thevara,North Indian,4.3,True,swiggy,,250.0
