hotel_id,name,city,google_rating,price_per_night_inr,amenities,source,total_reviews,condition_label,description
127,Adya Inn,Jodhpur,6.9,,,booking,47.0,Review score,"Featuring 3-star accommodation, Adya Inn is situated in Jodhpur, 3.6 km from Umaid Bhawan Palace Museum and 4 km from Jodhpur Railway Station."
128,Affordable Apartment in Chennai,Chennai,,,,booking,,,Travel Sustainable property
129,Affordable Orchid Apartment in Chennai,Chennai,,,,booking,,,Travel Sustainable property
130,Agonda Paradise Beach Huts,goa,4.2,4200.0,"Sleeps 9, 3 bedrooms, Air conditioning, Fireplace, Cable TV, Paid parking, Free Wi-Fi, No beach access, No crib",google,,,
131,Agp Homestay,Chennai,8.0,,,booking,1.0,Very good,"Situated in the centre of Chennai, 3 km from Government Museum Chennai and 3.4 km from Chennai Central Railway Station, Agp Homestay offers air conditioning."
132,"Agra Homestay, Stay 1KM Walking Distance From Taj Mahal East Gate",Agra,7.7,,,booking,28.0,Good,Travel Sustainable property
133,Agra Hotels Marygold,Agra,7.8,,,booking,219.0,Good,Travel Sustainable property
134,Agra Paying Guest House,Agra,4.8,,,booking,9.0,Review score,Travel Sustainable property
135,Agralam Cottages @Raghunandan Resort,Nashik,6.0,,,booking,1.0,Review score,"Set in Nashik, 3.1 km from Someshwar Temple, Agralam Cottages @Raghunandan Resort offers accommodation with a garden, free private parking and a restaurant."
136,Agrasen Foundation,ahmedabad,4.2,1765.0,"0, 0, 0, 0, 0, 0, 0, 0, 0",google,,,
137,Agrawal bhavan guest house,vadodara,3.5,657.0,"2-star hotel, Free Wi-Fi, Free parking, Pool, Full-service laundry, 0, 0, 0, 0",google,,,
138,AGRAWAL BHAVAN with TERRACE,Mumbai,2.7,,,booking,3.0,Review score,"Located in Mumbai, within 4.4 km of Phoenix Market City Mall and 8.7 km of Powai Lake, AGRAWAL BHAVAN with TERRACE provides accommodation with a garden and a shared lounge, and free WiFi."
139,Ahlan Dormitory,Mumbai,8.2,,,booking,141.0,Very good,"Located within 3.9 km of Phoenix Market City Mall and 5.5 km of Powai Lake, Ahlan Dormitory offers rooms with air conditioning and a shared bathroom in Mumbai."
140,Ahlan Luxury Rooms,Cochin,8.6,,,booking,67.0,Fabulous,"Set in Cochin, 23 km from Kochi Biennale, Ahlan Luxury Rooms offers accommodation with free WiFi and free private parking."
141,Ahuja Residency Noida,noida,4.3,3351.0,"3-star hotel, Breakfast, Free Wi-Fi, Free parking, Air conditioning, Restaurant, Room service, Kitchen, Full-service laundry",google,,,
142,Aira Serviced Apartments,Bangalore,7.5,,,booking,16.0,Good,"Set in Bangalore, within 3.8 km of The Heritage Centre & Aerospace Museum and 5.4 km of Brigade Road, Aira Serviced Apartments offers accommodation with a restaurant and as well as free private..."
143,Airport Guest House Guwahati,guwahati,4.0,2354.0,"3-star hotel, Free breakfast, Free Wi-Fi, Paid parking, Pool, Air conditioning, Restaurant, Room service, Kitchen",google,,,
144,Airport inn residency,mumbai,3.7,1109.0,"3-star hotel, Free breakfast, Free Wi-Fi, Paid parking, Air conditioning, Restaurant, Room service, Airport shuttle, Full-service laundry",google,,,
